"word","sentiment","translatedContent"
"abandon","negative","abandonar"
"abandoned","negative","abandonado"
"abandoning","negative","abandonando"
"abandonment","negative","abandono"
"abandonments","negative","abandonos"
"abandons","negative","abandona"
"abdicated","negative","abdicado"
"abdicates","negative","abdica"
"abdicating","negative","abdicando"
"abdication","negative","abdicación"
"abdications","negative","abdicaciones"
"aberrant","negative","aberrante"
"aberration","negative","aberración"
"aberrational","negative","aberración"
"aberrations","negative","aberraciones"
"abetting","negative","incitante"
"abnormal","negative","anormal"
"abnormalities","negative","anormalidades"
"abnormality","negative","anomalía"
"abnormally","negative","anormalmente"
"abolish","negative","abolir"
"abolished","negative","abolido"
"abolishes","negative","abole"
"abolishing","negative","abolición"
"abrogate","negative","abrogar"
"abrogated","negative","abrogado"
"abrogates","negative","abroga"
"abrogating","negative","abrogando"
"abrogation","negative","abrogación"
"abrogations","negative","abrogaciones"
"abrupt","negative","abrupto"
"abruptly","negative","abruptamente"
"abruptness","negative","pendiente"
"absence","negative","ausencia"
"absences","negative","ausencias"
"absenteeism","negative","absentismo"
"abuse","negative","abuso"
"abused","negative","abusado"
"abuses","negative","abusos"
"abusing","negative","abusando"
"abusive","negative","abusivo"
"abusively","negative","abusivamente"
"abusiveness","negative","injusticia"
"accident","negative","accidente"
"accidental","negative","accidental"
"accidentally","negative","accidentalmente"
"accidents","negative","accidentes"
"accusation","negative","acusación"
"accusations","negative","acusaciones"
"accuse","negative","acusar"
"accused","negative","acusado"
"accuses","negative","acusa"
"accusing","negative","acusando"
"acquiesce","negative","ceder"
"acquiesced","negative","conformado"
"acquiesces","negative","consentimientos"
"acquiescing","negative","consentir"
"acquit","negative","absolver"
"acquits","negative","absuelve"
"acquittal","negative","absolución"
"acquittals","negative","absoluciones"
"acquitted","negative","pagado"
"acquitting","negative","absolviendo"
"adulterate","negative","adulterar"
"adulterated","negative","espurio"
"adulterating","negative","adulterando"
"adulteration","negative","adulteración"
"adulterations","negative","adulteraciones"
"adversarial","negative","adversario"
"adversaries","negative","adversarios"
"adversary","negative","adversario"
"adverse","negative","adverso"
"adversely","negative","negativamente"
"adversities","negative","infortunios"
"adversity","negative","adversidad"
"aftermath","negative","secuelas"
"aftermaths","negative","secuelas"
"against","negative","en contra"
"aggravate","negative","agravar"
"aggravated","negative","agravado"
"aggravates","negative","agrava"
"aggravating","negative","agravante"
"aggravation","negative","agravación"
"aggravations","negative","agravaciones"
"alerted","negative","alertado"
"alerting","negative","alertando"
"alienate","negative","enajenar"
"alienated","negative","enajenado"
"alienates","negative","alienados"
"alienating","negative","alienante"
"alienation","negative","alienación"
"alienations","negative","alienaciones"
"allegation","negative","alegación"
"allegations","negative","alegaciones"
"allege","negative","alegar"
"alleged","negative","presunto"
"allegedly","negative","presuntamente"
"alleges","negative","alegaciones"
"alleging","negative","alegando"
"annoy","negative","molestar"
"annoyance","negative","molestia"
"annoyances","negative","molestias"
"annoyed","negative","irritado"
"annoying","negative","molesto"
