"word","sentiment","palabra"
"amazingly","positive","asombrosamente"
"ambiguity","negative","ambigüedad"
"ambiguous","negative","ambiguo"
"ambitious","positive","ambicioso"
"ambitiously","positive","ambiciosamente"
"ambivalence","negative","ambivalencia"
"ambivalent","negative","ambivalente"
"ambush","negative","emboscada"
"ameliorate","positive","mejorar"
"amenable","positive","dócil"
"amenity","positive","amenidad"
"amiability","positive","amabilidad"
"amiabily","positive","amiabily"
"amiable","positive","amable"
"amicability","positive","amabilidad"
"amicable","positive","amistoso"
"amicably","positive","amigablemente"
"amiss","negative","mal"
"amity","positive","amistad"
"ample","positive","amplio"
"amply","positive","ampliamente"
"amputate","negative","amputar"
"amuse","positive","entretener"
"amusing","positive","divertido"
"amusingly","positive","graciosamente"
"anarchism","negative","anarquismo"
"anarchist","negative","anarquista"
"anarchistic","negative","anarquista"
"anarchy","negative","anarquía"
"anemic","negative","anémico"
"angel","positive","ángel"
"angelic","positive","angelical"
"anger","negative","enfado"
"angrily","negative","furiosamente"
"angriness","negative","enojo"
"angry","negative","enojado"
"anguish","negative","angustia"
"animosity","negative","animosidad"
"annihilate","negative","aniquilar"
"annihilation","negative","aniquilación"
"annoy","negative","molestar"
"annoyance","negative","molestia"
"annoyances","negative","molestias"
"annoyed","negative","irritado"
"annoying","negative","molesto"
"annoyingly","negative","molestamente"
"annoys","negative","molesta"
"anomalous","negative","anómalo"
"anomaly","negative","anomalía"
"antagonism","negative","antagonismo"
"antagonist","negative","antagonista"
"antagonistic","negative","antagonista"
"antagonize","negative","enemistarse"
"anti-","negative","anti-"
"anti-american","negative","antiamericano"
"anti-israeli","negative","anti israelí"
"anti-occupation","negative","anti-ocupación"
"anti-proliferation","negative","antiproliferación"
"anti-semites","negative","antisemitas"
"anti-social","negative","antisocial"
"anti-us","negative","anti-nosotros"
"anti-white","negative","anti-blanco"
"antipathy","negative","antipatía"
"antiquated","negative","anticuado"
"antithetical","negative","antitético"
"anxieties","negative","ansiedades"
"anxiety","negative","ansiedad"
"anxious","negative","ansioso"
"anxiously","negative","ansiosamente"
"anxiousness","negative","ansiedad"
"apathetic","negative","apático"
"apathetically","negative","apáticamente"
"apathy","negative","apatía"
"apocalypse","negative","apocalipsis"
"apocalyptic","negative","apocalíptico"
"apologist","negative","apologista"
"apologists","negative","apologistas"
"apotheosis","positive","apoteosis"
"appal","negative","espantar"
"appall","negative","espantar"
