"word","sentiment","translatedContent"
"abacus","trust","ábaco"
"abandon","fear","abandonar"
"abandon","negative","abandonar"
"abandon","sadness","abandonar"
"abandoned","anger","abandonado"
"abandoned","fear","abandonado"
"abandoned","negative","abandonado"
"abandoned","sadness","abandonado"
"abandonment","anger","abandono"
"abandonment","fear","abandono"
"abandonment","negative","abandono"
"abandonment","sadness","abandono"
"abandonment","surprise","abandono"
"abba","positive","abba"
"abbot","trust","abad"
"abduction","fear","secuestro"
"abduction","negative","secuestro"
"abduction","sadness","secuestro"
"abduction","surprise","secuestro"
"aberrant","negative","aberrante"
"aberration","disgust","aberración"
"aberration","negative","aberración"
"abhor","anger","aborrecer"
"abhor","disgust","aborrecer"
"abhor","fear","aborrecer"
"abhor","negative","aborrecer"
"abhorrent","anger","aborrecible"
"abhorrent","disgust","aborrecible"
"abhorrent","fear","aborrecible"
"abhorrent","negative","aborrecible"
"ability","positive","capacidad"
"abject","disgust","abyecto"
"abject","negative","abyecto"
"abnormal","disgust","anormal"
"abnormal","negative","anormal"
"abolish","anger","abolir"
"abolish","negative","abolir"
"abolition","negative","abolición"
"abominable","disgust","abominable"
"abominable","fear","abominable"
"abominable","negative","abominable"
"abomination","anger","abominación"
"abomination","disgust","abominación"
"abomination","fear","abominación"
"abomination","negative","abominación"
"abort","negative","abortar"
"abortion","disgust","aborto"
"abortion","fear","aborto"
"abortion","negative","aborto"
"abortion","sadness","aborto"
"abortive","negative","abortivo"
"abortive","sadness","abortivo"
"abovementioned","positive","anteriormente mencionado"
"abrasion","negative","abrasión"
"abrogate","negative","abrogar"
"abrupt","surprise","abrupto"
"abscess","negative","absceso"
"abscess","sadness","absceso"
"absence","fear","ausencia"
"absence","negative","ausencia"
"absence","sadness","ausencia"
"absent","negative","ausente"
"absent","sadness","ausente"
"absentee","negative","ausente"
"absentee","sadness","ausente"
"absenteeism","negative","absentismo"
"absolute","positive","absoluto"
"absolution","joy","absolución"
"absolution","positive","absolución"
"absolution","trust","absolución"
"absorbed","positive","absorbido"
"absurd","negative","absurdo"
"absurdity","negative","absurdo"
"abundance","anticipation","abundancia"
"abundance","disgust","abundancia"
"abundance","joy","abundancia"
"abundance","negative","abundancia"
"abundance","positive","abundancia"
"abundance","trust","abundancia"
"abundant","joy","abundante"
"abundant","positive","abundante"
"abuse","anger","abuso"
"abuse","disgust","abuso"
"abuse","fear","abuso"
"abuse","negative","abuso"
"abuse","sadness","abuso"
"abysmal","negative","abismal"
"abysmal","sadness","abismal"
"abyss","fear","abismo"
"abyss","negative","abismo"
"abyss","sadness","abismo"
"academic","positive","académico"
"academic","trust","académico"
"academy","positive","academia"
"accelerate","anticipation","acelerar"
"acceptable","positive","aceptable"
"acceptance","positive","aceptación"
"accessible","positive","accesible"
"accident","fear","accidente"
"accident","negative","accidente"
"accident","sadness","accidente"
"accident","surprise","accidente"
"accidental","fear","accidental"
"accidental","negative","accidental"
"accidental","surprise","accidental"
"accidentally","surprise","accidentalmente"
"accolade","anticipation","espaldarazo"
"accolade","joy","espaldarazo"
"accolade","positive","espaldarazo"
"accolade","surprise","espaldarazo"
"accolade","trust","espaldarazo"
"accommodation","positive","alojamiento"
"accompaniment","anticipation","acompañamiento"
"accompaniment","joy","acompañamiento"
"accompaniment","positive","acompañamiento"
"accompaniment","trust","acompañamiento"
"accomplish","joy","realizar"
"accomplish","positive","realizar"
"accomplished","joy","consumado"
"accomplished","positive","consumado"
"accomplishment","positive","logro"
"accord","positive","acuerdo"
"accord","trust","acuerdo"
"account","trust","cuenta"
"accountability","positive","responsabilidad"
"accountability","trust","responsabilidad"
"accountable","positive","explicable"
"accountable","trust","explicable"
"accountant","trust","contador"
"accounts","trust","cuentas"
"accredited","positive","autorizado"
"accredited","trust","autorizado"
"accueil","positive","accueil"
"accurate","positive","preciso"
"accurate","trust","preciso"
"accursed","anger","maldito"
"accursed","fear","maldito"
"accursed","negative","maldito"
"accursed","sadness","maldito"
"accusation","anger","acusación"
"accusation","disgust","acusación"
"accusation","negative","acusación"
"accusative","negative","acusativo"
"accused","anger","acusado"
"accused","fear","acusado"
"accused","negative","acusado"
"accuser","anger","acusador"
"accuser","fear","acusador"
"accuser","negative","acusador"
"accusing","anger","acusando"
"accusing","fear","acusando"
"accusing","negative","acusando"
"ace","positive","as"
"ache","negative","dolor"
"ache","sadness","dolor"
"achieve","joy","lograr"
"achieve","positive","lograr"
"achieve","trust","lograr"
"achievement","anticipation","logro"
"achievement","joy","logro"
"achievement","positive","logro"
"achievement","trust","logro"
"aching","negative","dolor"
"aching","sadness","dolor"
"acid","negative","ácido"
"acknowledgment","positive","Reconocimiento"
"acquire","positive","adquirir"
"acquiring","anticipation","adquisidor"
"acquiring","positive","adquisidor"
"acrobat","fear","acróbata"
"acrobat","joy","acróbata"
"acrobat","positive","acróbata"
"acrobat","trust","acróbata"
"action","positive","acción"
"actionable","anger","procesable"
"actionable","disgust","procesable"
"actionable","negative","procesable"
"actual","positive","real"
"acuity","positive","agudeza"
"acumen","positive","perspicacia"
"adapt","positive","adaptar"
"adaptable","positive","adaptable"
"adder","anger","sumador"
"adder","disgust","sumador"
"adder","fear","sumador"
"adder","negative","sumador"
"adder","sadness","sumador"
"addiction","negative","adiccion"
"addresses","anticipation","direcciones"
"addresses","positive","direcciones"
"adept","positive","adepto"
"adequacy","positive","adecuación"
"adhering","trust","adherente"
"adipose","negative","adiposo"
"adjudicate","fear","juzgar"
"adjudicate","negative","juzgar"
"adjunct","positive","adjunto"
"administrative","trust","administrativo"
"admirable","joy","admirable"
"admirable","positive","admirable"
"admirable","trust","admirable"
"admiral","positive","almirante"
"admiral","trust","almirante"
"admiration","joy","admiración"
"admiration","positive","admiración"
"admiration","trust","admiración"
"admire","positive","admirar"
"admire","trust","admirar"
"admirer","positive","admirador"
"admissible","positive","admisible"
"admissible","trust","admisible"
"admonition","fear","amonestación"
"admonition","negative","amonestación"
"adorable","joy","adorable"
"adorable","positive","adorable"
"adoration","joy","adoración"
"adoration","positive","adoración"
"adoration","trust","adoración"
"adore","anticipation","adorar"
"adore","joy","adorar"
"adore","positive","adorar"
"adore","trust","adorar"
"adrift","anticipation","a la deriva"
"adrift","fear","a la deriva"
"adrift","negative","a la deriva"
"adrift","sadness","a la deriva"
"adulterated","negative","espurio"
"adultery","disgust","adulterio"
"adultery","negative","adulterio"
"adultery","sadness","adulterio"
"advance","anticipation","avanzar"
"advance","fear","avanzar"
"advance","joy","avanzar"
"advance","positive","avanzar"
"advance","surprise","avanzar"
"advanced","positive","avanzado"
"advancement","positive","avance"
"advantage","positive","ventaja"
"advantageous","positive","ventajoso"
"advent","anticipation","adviento"
"advent","joy","adviento"
"advent","positive","adviento"
"advent","trust","adviento"
"adventure","anticipation","aventuras"
"adventure","positive","aventuras"
"adventurous","positive","aventurero"
